,Train_loss,Train_acc,Valid_loss,Valid_acc
0,2.2884730875492094,0.1398,2.251209020614624,0.1735
1,2.216676712036133,0.2026,2.1810086965560913,0.2203
2,2.14147025346756,0.233975,2.101491665840149,0.2291
3,2.050367558002472,0.261975,2.0109819769859314,0.2721
4,1.9798886179924011,0.28545,1.964317214488983,0.2933
5,1.938678115606308,0.30395,1.9333310008049012,0.2974
6,1.9047937780618667,0.322075,1.8957685112953186,0.3217
7,1.8720941156148911,0.334375,1.869068944454193,0.331
8,1.8478579372167587,0.341925,1.8444164037704467,0.3425
9,1.8221751540899276,0.353225,1.832916796207428,0.3388
10,1.8105754643678664,0.354875,1.827309286594391,0.3405
11,1.7838951617479324,0.36745,1.7692164540290833,0.3725
12,1.74813569188118,0.3807,1.7409909248352051,0.371
13,1.7239262938499451,0.38755,1.7176747918128967,0.393
14,1.6937071084976196,0.4005,1.6806334614753724,0.4027
15,1.6752229422330855,0.403975,1.661042857170105,0.4067
16,1.6478548377752305,0.41395,1.6594267725944518,0.4105
17,1.617025837302208,0.427925,1.6221403360366822,0.4223
18,1.588520383834839,0.4357,1.615737998485565,0.4165
19,1.5814162075519562,0.43615,1.605308198928833,0.4202
